SampleID,PCo1,PCo2,PCo3,DMM_L6,Dataset,Shannon,Ethnicity_initial,Ethnicity,Group,SuperGroup,Prevotella_copri,Bacteroidaceae,Prevotellaceae,Ruminococcaceae,Lachnospiraceae,Clostridiales fam. incertae sedis,Clostridiaceae,Unclassified,Eubacteriaceae,Rikenellaceae,Firmicutes fam. incertae sedis,Oscillospiraceae,Veillonellaceae,Tannerellaceae,Bifidobacteriaceae,Bacteroidales fam. incertae sedis,Proteobacteria fam. [Acetobacteraceae/Enterobacteriaceae],Selenomonadaceae,Sutterellaceae,Firmicutes fam. [Lachnospiraceae/Lactobacillaceae],Coriobacteriaceae,Bacteria fam. incertae sedis,Acidaminococcaceae,Erysipelotrichaceae,Firmicutes fam. [Carnobacteriaceae/Acidaminococcaceae],Streptococcaceae,Akkermansiaceae,Barnesiellaceae
SAMEA2153852,0.052114158,0.055513745,0.199131486,Cluster 1,PRJEB4336,6.673624,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.096300317,0.010416851,0.209151081,0.058291221,0.229073903,0.092611898,0.054441129,0.021069412,0.027787384,0.071205549,0.013946922,0.012902097,0.007860245,0.004490577,0.045177219,0.000153812,0,0.00219606,0.000533215,0.002802621,0.001706437,0,0.002401267,0.01004092,0.000225735,0.007743326,0.001634682
SAMEA2153887,0.059662979,0.150398475,-0.004843327,Cluster 1,PRJEB4336,5.705437916,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.085672113,0,0.02815126,0.303150577,0.074005975,0.214716463,0.074189519,0.079138831,0.000730844,0.002475176,0.001274089,0,0.007064895,0,0.00126295,0,0.020034525,0.000682761,0,0,0.028167035,0.002978955,0.004328182,0,0.000927502,0.0001599,0.00725138
SAMEA2153898,-0.000404201,0.02708673,-0.104103455,Cluster 1,PRJEB4336,2.839966701,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.00363233,0,0.000548263,0.041737128,0.002878495,0.109281603,0.010990845,0.002934372,0,0.001713452,0,0.001380704,0.0000573,0.000207661,0,0.503623754,0,0.000206859,0.0000527,0,0.001371302,0.000114125,0.005478447,0,0.007628617,0,0
SAMEA2154015,0.004619482,0.14220973,0.110634367,Cluster 1,PRJEB4336,6.432278819,Denmark,Denmark,Denmark,Denmark_Cluster 1,5.89E-05,0.071312235,0.045709045,0.162140214,0.184459171,0.155094114,0.066913341,0.070789826,0.066715666,0.021054703,0.012467413,0.013796815,0.001108229,0.011358947,0.0003087,0.042141187,0.0000294,0.00136191,0.001815628,0.001555704,0.001525246,0.000567111,0.001134765,0.005779054,0.001672574,0.001446713,0.000146108,0.005290664
SAMEA2154036,0.09439327,0.166645811,-0.123042619,Cluster 1,PRJEB4336,4.985826988,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.056466208,0.000718569,0.176160978,0.378980657,0.063411191,0.040155185,0.050014374,0.142468836,0.0000746,0.0001183,0.000735083,0.004543989,0.0000241,0.0000254,0,0.0000316,0,0.0000187,0.0803944,0.002332158,0.000604976,0,0.0003338,0,0.000479857,0,0.0000271
SAMEA2154047,-0.079039019,0.047930597,0.152515261,Cluster 1,PRJEB4336,5.924167237,Denmark,Denmark,Denmark,Denmark_Cluster 1,0.004351711,0.067033163,0.075334603,0.066069358,0.042819247,0.084739707,0.169997114,0.034011258,0.052201896,0.020780439,0.153192361,0.006662304,0.001112954,0.003562298,0.0000324,0.069068087,0.0000389,0,0.002083452,0,0.00022497,0.047332031,0.01615359,0.002565147,0,0.000258508,0.004179754,0.007266177
SAMEA2154082,-0.269152591,-0.229365629,-0.251350456,Cluster 2,PRJEB4336,3.953700113,Denmark,Denmark,Denmark,Denmark_Cluster 2,0.435485638,0.042257536,0.46011967,0,0.036612503,0.019319264,0.244606684,0.041102893,0.096835008,0.000900547,0.008962433,0,0,0.002835768,0,0.002982001,0,0,0,0,0,0.00241548,0.008285841,0,0,0,0,0.002324207
SAMEA2154150,0.313536584,-0.097980522,0.034804304,Cluster 2,PRJEB4336,5.417723137,Denmark,Denmark,Denmark,Denmark_Cluster 2,0,0.382814669,0.0000487,0.05598791,0.181648791,0.037005209,0.044697605,0.056606505,0.05275383,0.049281057,0.000738979,0.009216302,0.0002417,0.0141673,0.001040596,0.003805433,0,0,0.009112494,0.002640462,0,0.005787747,0.013159839,0.00368186,0,0.0000536,0.010883636,0.015852933
SAMEA2154452,-0.145875061,0.1018694,0.213611171,Cluster 3,PRJEB4336,6.430952277,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.009909467,0.004475667,0.061553185,0.071472455,0.139548276,0.087023416,0.327741043,0.058203216,0.027716834,0.002144427,0.054051307,0.009414473,0.0000773,0.002440078,0.000549363,0.013242016,0,0,0.001196711,0.000237041,0.001657248,0.000398087,0.024857623,0.005059007,0,0.000158931,0,0.000786163
SAMEA2154516,-0.187352378,-0.312001193,-0.105061485,Cluster 3,PRJEB4336,4.373100131,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.445989826,0.110976809,0.447455074,0.081406353,0.026682493,0.071295588,0.048202042,0.034799187,0.003511282,0.038285368,0.017598155,0.015767108,0.0000406,0.0102352,0.000377017,0.002452682,0,0,0.010564259,0,0.002668469,0.000423683,0.0299552,0.000400552,0,0.0000579,0.004619305,0.00601825
