	shannon
ERR527083	6.33112790611215
ERR527084	6.36946116476792
ERR527085	5.694627563781833
ERR527086	5.11431457901526
ERR527087	5.210766425667393
ERR527088	5.194563079681762
ERR527089	6.352050575695678
ERR527090	5.211266763032553
ERR527091	3.035079464195192
ERR527092	5.771810798128264
ERR527093	5.665327307195337
ERR527094	3.413855427196028
ERR527095	3.4485474743499434
ERR527096	4.083991136387427
ERR527097	3.983417815010075
ERR527098	4.842792274503651
ERR527099	5.077209028093213
ERR527100	5.118893871827794
ERR527101	2.5434954151298266
ERR527102	4.560392583557491
ERR527103	4.38884140314688
ERR527104	6.167225528540795
ERR527105	5.171952787904512
ERR527106	5.856771042336194
ERR527107	5.502296128169883
ERR527108	6.337831778545528
ERR527109	6.276164465195738
ERR527110	5.931159310382004
ERR527111	5.323060497783657
ERR527112	5.336198592170267
ERR527113	5.998919099912966
ERR527114	5.818763703864743
ERR527115	5.661130012390129
ERR527116	5.3117014122572455
ERR527117	6.304577614886798
ERR527118	6.155790038791564
ERR527119	4.811673938654632
ERR527120	4.969489374743086
ERR527121	5.918211084093897
ERR527122	4.905511289965194
ERR527123	5.444066135157486
ERR527124	6.35368845022059
ERR527125	3.7128867909107366
ERR527126	5.3095539248731844
ERR527127	5.967265550583084
ERR527128	6.096866954015626
ERR527129	5.095029587445567
ERR527130	4.5828576133139585
ERR527131	4.01086688363902
ERR527132	5.707490499881876
ERR527133	6.195435523631437
ERR527134	5.114064505154303
ERR527135	5.473675642213034
ERR527136	4.811728476134093
ERR527137	3.344027784710271
ERR527138	4.124337509676384
ERR527139	5.50847292378396
ERR528329	5.317856578439738
ERR528330	4.5038049195837955
ERR528331	5.21629549552853
ERR528332	6.525571551927031
ERR528333	4.08269268774178
ERR528334	6.3549669805802
ERR528335	4.043005135181022
ERR528336	5.165903767628231
ERR528337	4.583434075704918
ERR532377	6.3549669805802
SAMEA1964270	4.99935689640449
SAMEA1964687	5.906868898819597
SAMEA1964695	5.3850823124548635
SAMEA1964852	5.802493113364107
SAMEA1965149	6.605723486992126
SAMEA1965858	5.5521094686646935
SAMEA1966821	5.976833109845612
SAMEA1967319	4.156285007798549
SAMEA1967891	5.269836044563831
SAMEA1969126	5.530528367752687
SAMEA1969178	5.539651373876402
SAMEA1969417	4.072316624196879
SAMEA1970465	5.9320199458474745
SAMEA1970858	5.583888398504175
SAMEA1970897	6.517299699537356
SAMEA1971210	5.748120287707608
SAMEA1972002	5.5177134260881635
SAMEA1972188	4.7002012981041625
SAMEA1972381	6.527526094231819
SAMEA2142349	6.629795574516431
SAMEA2142525	4.420223289169042
SAMEA2142583	5.486593843293605
SAMEA2142594	6.172755604061281
SAMEA2142793	5.07820251838945
SAMEA2142846	6.105134952377691
SAMEA2142848	4.955063465907438
SAMEA2142970	6.100205842405297
SAMEA2143074	4.970005859706778
SAMEA2143176	5.921375122761622
SAMEA2143295	6.080523196240526
SAMEA2143633	6.012429963073349
SAMEA2143745	6.223239346428863
SAMEA2143863	6.385449543176298
SAMEA2143980	5.77093034308888
SAMEA2144223	4.647254573868069
SAMEA2144299	6.494938071333861
SAMEA2144304	6.115837591290551
SAMEA2144396	6.723737325590453
SAMEA2144525	5.392495935059547
SAMEA2144555	6.467732970269993
SAMEA2144578	5.000219789249346
SAMEA2144588	5.879817696403619
SAMEA2144623	6.066932373677256
SAMEA2144640	5.401644629646216
SAMEA2144980	5.569085096204784
SAMEA2145068	6.340541381538017
SAMEA2145301	5.333536141665192
SAMEA2145365	6.782762418312599
SAMEA2145582	6.200242253853381
SAMEA2145648	4.249734501356839
SAMEA2145758	6.491940369109692
SAMEA2145815	5.8563217826699425
SAMEA2146009	5.462385127173875
SAMEA2146107	6.633071937786973
SAMEA2146320	6.106170066558653
SAMEA2146321	6.2801939180182496
SAMEA2146472	6.508749820377778
SAMEA2146477	6.4649742796189384
SAMEA2146552	5.77576639595918
SAMEA2146600	5.776582956901589
SAMEA2146682	6.578402789385206
SAMEA2146731	6.262662122741041
SAMEA2146778	6.17384964210358
SAMEA2146908	6.422463867852336
SAMEA2147022	4.424954466226884
SAMEA2147036	5.566851761426403
SAMEA2147070	6.08641822143528
SAMEA2147092	3.9809136341844353
SAMEA2147114	5.844644560742241
SAMEA2147216	5.537780836574681
SAMEA2147326	4.9936214909771035
SAMEA2147384	4.325032616489965
SAMEA2147587	5.738955782897467
SAMEA2147589	3.6089328808557677
SAMEA2147983	6.074995073172861
SAMEA2147991	4.802695734870786
SAMEA2148024	5.898254201396549
SAMEA2148063	5.0142744723979265
SAMEA2148094	5.549270863026353
SAMEA2148105	3.590268946850128
SAMEA2148265	4.69293058984084
SAMEA2148374	6.611535766958573
SAMEA2148412	6.604887503838064
SAMEA2148549	6.236616673463398
SAMEA2148558	5.537880684134605
SAMEA2148733	6.061747466300075
SAMEA2148755	5.745030216247734
