#SampleID	BarcodeSequence	LinkerPrimerSequence	DMM_L6	Dataset	Ethnicity	Category	Description
SRR10692374	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692375	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA588513	Tibetan	Tibetan_Cluster 2	NA
SRR10692376	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692377	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692379	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692380	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692381	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692382	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692383	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692384	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692385	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692390	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692391	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692392	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692393	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692394	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692395	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692396	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692397	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692398	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692399	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692401	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692402	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692403	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692404	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692405	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692406	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692407	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692408	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692409	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692411	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692449	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692450	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692451	NNNNNNN	NNNNNNNNN	Cluster 2	PRJNA588513	Tibetan	Tibetan_Cluster 2	NA
SRR10692452	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692454	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692455	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692456	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692457	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692458	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692459	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692460	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692461	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692462	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692463	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692465	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692466	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692467	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692538	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692618	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692619	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692620	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692621	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692622	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692623	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692624	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692625	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692626	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692627	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692629	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692630	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692631	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692632	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692633	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692634	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692635	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692636	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692637	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692638	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692640	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692641	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692642	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692643	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692644	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692645	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692646	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692647	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692648	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692649	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692651	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692652	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692653	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692654	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692761	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692762	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692763	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692764	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692765	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692766	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692767	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692768	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692770	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692771	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692772	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692773	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692774	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692775	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692776	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692777	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692778	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692779	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692781	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692782	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692783	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692784	NNNNNNN	NNNNNNNNN	Cluster 3	PRJNA588513	Tibetan	Tibetan_Cluster 3	NA
SRR10692785	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692786	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692787	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692788	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692789	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692790	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692792	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692793	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692794	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692795	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
SRR10692796	NNNNNNN	NNNNNNNNN	Cluster 1	PRJNA588513	Tibetan	Tibetan_Cluster 1	NA
